train_loss,epoch,step,val_loss
-1.131843251092282,0,49,
-1.4340682274873036,0,99,
-1.661119487974506,0,149,
-1.700799857812782,0,199,
-1.6754660115082984,0,249,
,0,249,2.3198069455235997
-1.843965018466687,1,299,
-1.6376443432288272,1,349,
-1.670306900582393,1,399,
-1.9006025176492565,1,449,
-1.6614788870772452,1,499,
,1,499,10.746661179026331
-1.8934874499236138,2,549,
-1.830046217774162,2,599,
-1.8044106576505672,2,649,
-1.9524990645296532,2,699,
-1.4298809700421857,2,749,
,2,749,6.838426665423141
-1.873037229332581,3,799,
-1.677455258242665,3,849,
-2.032213610313311,3,899,
-2.142112364767547,3,949,
-1.8275179694797115,3,999,
,3,999,11.813885350567285
-1.9078696878764496,4,1049,
-1.788159110720517,4,1099,
-2.1289993420579396,4,1149,
-2.060663365847559,4,1199,
-1.7202710092704234,4,1249,
,4,1249,13.692775973740098
-2.1695408135985774,5,1299,
-1.850470243546833,5,1349,
-2.133508850902916,5,1399,
-1.8987540462029555,5,1449,
-1.8059114975587187,5,1499,
,5,1499,6.504298873815782
