train_loss,epoch,step,val_loss
-0.462651018943685,0,49,
-0.32862461781408436,0,99,
-0.4993014569565388,0,149,
-0.5929547500150467,0,199,
-0.4438234926907856,0,249,
,0,249,-0.4086118622344772
-0.5661554652337975,1,299,
-0.4017507247917269,1,349,
-0.554557180566698,1,399,
-0.5857547264959821,1,449,
-0.44315431282065587,1,499,
,1,499,-0.4736881383429118
-0.5348959810870304,2,549,
-0.4626843301460468,2,599,
-0.5203351030295247,2,649,
-0.6134223149498363,2,699,
-0.44443008789785443,2,749,
,2,749,-0.4130827162600421
-0.5694317552826442,3,799,
-0.43956300715279006,3,849,
-0.4880679295748611,3,899,
-0.5940854982286017,3,949,
-0.49763790809003705,3,999,
,3,999,-0.04948424683046084
-0.5798979557045274,4,1049,
-0.5541052911619322,4,1099,
-0.5428352050159346,4,1149,
-0.6503237867590284,4,1199,
-0.47728129652897877,4,1249,
,4,1249,1.5613054138649267
-0.5576376025683731,5,1299,
-0.5467478055108725,5,1349,
-0.5968202986566675,5,1399,
-0.6457132366976515,5,1449,
-0.5231769596994233,5,1499,
,5,1499,0.5064081084072396
-0.5695277602752795,6,1549,
-0.5902493367536472,6,1599,
-0.619256082124132,6,1649,
-0.643061416373715,6,1699,
-0.5226339851277015,6,1749,
,6,1749,-0.18370090232820294
