train_loss,epoch,step,val_loss
-0.1876631164705329,0,49,
-0.4941768832397626,0,99,
-0.3807564276640596,0,149,
-0.4820798824636072,0,199,
-0.5071930797742668,0,249,
,0,249,-0.26330734544354806
-0.5286287969248176,1,299,
-0.6422648762555809,1,349,
-0.6404014123375315,1,399,
-0.9408315441654351,1,449,
-0.843752065629874,1,499,
,1,499,3.602140764124488
-0.8720907450903075,2,549,
-1.1884139864891419,2,599,
-0.9889834259467762,2,649,
-1.0747906150150714,2,699,
-1.2637818756662145,2,749,
,2,749,0.6069179475652893
-1.425550001261893,3,799,
-1.2067031234709429,3,849,
-1.4243487236169847,3,899,
-1.440752983095404,3,949,
-1.4568575676284263,3,999,
,3,999,0.05076367447572014
-1.480787490605675,4,1049,
-1.3529414819359369,4,1099,
-1.5990624360325771,4,1149,
-1.4287302757581497,4,1199,
-1.6237153091491687,4,1249,
,4,1249,-0.36086574535259086
-1.3903522137059507,5,1299,
-1.558845385447907,5,1349,
-1.6958071687965215,5,1399,
-1.609224173508471,5,1449,
-1.5494658259349654,5,1499,
,5,1499,2.849669794200355
-1.280967054143928,6,1549,
-1.645095433825802,6,1599,
-1.6842006577358815,6,1649,
-1.6376153163291052,6,1699,
-1.6331136747142248,6,1749,
,6,1749,4.42592035298095
-1.6478568487923615,7,1799,
-1.5826118484422342,7,1849,
-1.792634975880052,7,1899,
-1.706272734222027,7,1949,
-1.6817128827263716,7,1999,
,7,1999,2.8186982911674416
-1.6079110325678792,8,2049,
-1.7142919766849711,8,2099,
-1.8159237474783785,8,2149,
-1.7456488591831427,8,2199,
-1.4519129148143346,8,2249,
,8,2249,9.810746614265158
-1.587458257111294,9,2299,
-1.787777825733599,9,2349,
-1.7528981400008208,9,2399,
-1.7833853095364343,9,2449,
-1.6736144895046037,9,2499,
,9,2499,5.735706684245443
