train_loss,epoch,step,val_loss
-0.5599555815874488,0,49,
-1.1182065233736869,0,99,
-0.9319791676284535,0,149,
-1.4534013378541786,0,199,
-1.4440551190845312,0,249,
,0,249,16.130548039924605
-1.2528167062600968,1,299,
-1.4698530068952544,1,349,
-1.5220413971560909,1,399,
-1.622527618539698,1,449,
-1.6200686095861923,1,499,
,1,499,4.24929254036884
-1.4235048535004178,2,549,
-1.6159943384963174,2,599,
-1.5966908881422475,2,649,
-1.6226597584894193,2,699,
-1.8264215455142037,2,749,
,2,749,8.603608366104519
-1.5417375589404214,3,799,
-1.387198215291513,3,849,
-1.6516062066596164,3,899,
-1.836785333101326,3,949,
-1.9313934785021387,3,999,
,3,999,22.945422039863278
-1.5587488687870308,4,1049,
-1.9005451738328172,4,1099,
-1.7902015329760355,4,1149,
-1.7763175493582588,4,1199,
-1.9597212691053623,4,1249,
,4,1249,1.0356210507807253
-1.7483582648347054,5,1299,
-2.1068036822134655,5,1349,
-1.681282547944251,5,1399,
-1.8915571185078683,5,1449,
-2.046508975026045,5,1499,
,5,1499,-0.8842309397382961
-1.943425233129265,6,1549,
-1.9898758374297416,6,1599,
-1.819722176072815,6,1649,
-1.7163902086684826,6,1699,
-2.0559262348322216,6,1749,
,6,1749,1.974727985965863
-1.6798139860512937,7,1799,
-1.8398085689624641,7,1849,
-1.9858922078971684,7,1899,
-1.7307888487870746,7,1949,
-1.9428241303808433,7,1999,
,7,1999,10.068032007285744
-1.83589518491956,8,2049,
-1.816641838719621,8,2099,
-1.7915170072413333,8,2149,
-1.621545749698135,8,2199,
-2.120915988958182,8,2249,
,8,2249,19.96501518003195
-2.0051637052473703,9,2299,
-2.132761786665661,9,2349,
-2.045809159749423,9,2399,
-1.703777194235561,9,2449,
-1.975763925490122,9,2499,
,9,2499,6.341425271809781
-2.040771467250888,10,2549,
-2.1231701848947298,10,2599,
-1.9926777196857404,10,2649,
-1.922993587723885,10,2699,
-2.0884127506866834,10,2749,
,10,2749,1.837638114537927
